"Country",2017,2018,2019,2020,2021,2022
"Denmark",21226.19,18744.38,21666.85,19640.87,24243.75,39865.24
"Lithuania",972.35,819.27,2592.13,4678.34,2528.06,-936.86
"Finland",0,-2801.54,479.72,238.04,250.59,-7200.33
