"Country",2017,2018,2019,2020,2021,2022
"Denmark",136671.6,142036.3,145320.3,144123.2,153539.5,161012.9
"Lithuania",26297.2,27971.8,29381.9,28983.6,32743.2,39067.4
"Finland",120301,123936,126081,121754,128380,138305
