"Country",2017,2018,2019,2020,2021,2022
"Denmark",62575.1,65687.9,65746.1,69506.2,76124.5,87599.5
"Lithuania",8503.8,9530.9,10481.7,10616.2,12016.7,14006.4
"Finland",52839,56206,57149,57231,59109,65746
